year,cause,cause.code,state,deaths,population,crude.rate,crude.rate.lower.95.ci,crude.rate.upper.95.ci,percent.total.deaths
1999,Discharge from other and unspecified firearms,W34,Texas,46,19819906,0.23209,0.16992,0.30958,0.00882%
1999,Discharge from other and unspecified firearms,W34,Virginia,16,6704701,NaN,0.1364,0.38753,0.00307%
1999,Intentional self-harm by handgun discharge,X72,Alabama,94,4373981,2.14907,1.73667,2.62993,0.01803%
1999,Intentional self-harm by handgun discharge,X72,Alaska,13,488662,NaN,1.41652,4.54924,0.00249%
1999,Intentional self-harm by handgun discharge,X72,Arizona,129,4638201,2.78125,2.30129,3.26121,0.02474%
1999,Intentional self-harm by handgun discharge,X72,Arkansas,10,2612382,NaN,0.18356,0.70397,0.00192%
1999,Intentional self-harm by handgun discharge,X72,California,696,28994903,2.40042,2.22209,2.57876,0.13349%
1999,Intentional self-harm by handgun discharge,X72,Colorado,70,4065971,1.72161,1.34208,2.17515,0.01343%
1999,Intentional self-harm by handgun discharge,X72,Florida,131,15397806,0.85077,0.70508,0.99646,0.02513%
1999,Intentional self-harm by handgun discharge,X72,Georgia,60,7847232,0.7646,0.58347,0.98419,0.01151%
1999,Intentional self-harm by handgun discharge,X72,Idaho,25,1242252,2.01247,1.30237,2.97081,0.00479%
1999,Intentional self-harm by handgun discharge,X72,Illinois,89,11875025,0.74947,0.60189,0.92229,0.01707%
1999,Intentional self-harm by handgun discharge,X72,Indiana,71,5965098,1.19026,0.9296,1.50134,0.01362%
1999,Intentional self-harm by handgun discharge,X72,Iowa,48,2871759,1.67145,1.23239,2.21609,0.00921%
1999,Intentional self-harm by handgun discharge,X72,Kansas,28,2600117,1.07687,0.71557,1.55639,0.00537%
1999,Intentional self-harm by handgun discharge,X72,Kentucky,50,3980479,1.25613,0.93232,1.65606,0.00959%
1999,Intentional self-harm by handgun discharge,X72,Maine,43,1249521,3.44132,2.49048,4.63542,0.00825%
1999,Intentional self-harm by handgun discharge,X72,Massachusetts,16,6049645,NaN,0.15117,0.4295,0.00307%
1999,Intentional self-harm by handgun discharge,X72,Michigan,24,9641980,0.24891,0.15948,0.37036,0.00460%
1999,Intentional self-harm by handgun discharge,X72,Minnesota,19,4667367,NaN,0.24509,0.63571,0.00364%
1999,Intentional self-harm by handgun discharge,X72,Mississippi,75,2799088,2.67944,2.10754,3.35871,0.01438%
1999,Intentional self-harm by handgun discharge,X72,Missouri,187,5466992,3.42053,2.93027,3.91079,0.03587%
1999,Intentional self-harm by handgun discharge,X72,Montana,17,833890,NaN,1.18759,3.26406,0.00326%
1999,Intentional self-harm by handgun discharge,X72,Nevada,117,1801605,6.49421,5.31745,7.67097,0.02244%
1999,Intentional self-harm by handgun discharge,X72,New Jersey,23,7840433,0.29335,0.18596,0.44017,0.00441%
1999,Intentional self-harm by handgun discharge,X72,New Mexico,118,1605512,7.34968,6.02356,8.6758,0.02263%
1999,Intentional self-harm by handgun discharge,X72,North Carolina,18,7729492,NaN,0.13802,0.36804,0.00345%
1999,Intentional self-harm by handgun discharge,X72,North Dakota,11,609006,NaN,0.90167,3.23184,0.00211%
1999,Intentional self-harm by handgun discharge,X72,Ohio,69,11164200,0.61805,0.48088,0.78218,0.01323%
1999,Intentional self-harm by handgun discharge,X72,Oregon,169,3220625,5.24743,4.45628,6.03858,0.03241%
1999,Intentional self-harm by handgun discharge,X72,Pennsylvania,59,12014508,0.49107,0.37383,0.63345,0.01132%
1999,Intentional self-harm by handgun discharge,X72,South Carolina,25,3922493,0.63735,0.41246,0.94086,0.00479%
1999,Intentional self-harm by handgun discharge,X72,South Dakota,16,682946,NaN,1.33912,3.80455,0.00307%
1999,Intentional self-harm by handgun discharge,X72,Tennessee,52,5565118,0.93439,0.69785,1.22533,0.00997%
1999,Intentional self-harm by handgun discharge,X72,Texas,114,19819906,0.57518,0.46959,0.68077,0.02186%
1999,Intentional self-harm by handgun discharge,X72,Utah,49,2113862,2.31803,1.7149,3.06455,0.00940%
1999,Intentional self-harm by handgun discharge,X72,Virginia,154,6704701,2.2969,1.93412,2.65967,0.02954%
1999,Intentional self-harm by handgun discharge,X72,Washington,276,5360926,5.14836,4.54097,5.75576,0.05294%
1999,Intentional self-harm by handgun discharge,X72,West Virginia,18,1799871,NaN,0.5927,1.58054,0.00345%
1999,Intentional self-harm by handgun discharge,X72,Wisconsin,119,5189819,2.29295,1.88097,2.70493,0.02282%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Alabama,63,4373981,1.44034,1.1068,1.84281,0.01208%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Alaska,10,488662,NaN,0.98133,3.76342,0.00192%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Arizona,40,4638201,0.8624,0.61611,1.17435,0.00767%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Arkansas,23,2612382,0.88042,0.55811,1.32107,0.00441%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,California,257,28994903,0.88636,0.77799,0.99473,0.04929%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Colorado,40,4065971,0.98377,0.70282,1.33963,0.00767%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Connecticut,17,3286576,NaN,0.30132,0.82818,0.00326%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Florida,139,15397806,0.90273,0.75265,1.0528,0.02666%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Georgia,55,7847232,0.70088,0.528,0.9123,0.01055%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Idaho,13,1242252,NaN,0.55721,1.78952,0.00249%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Illinois,76,11875025,0.64,0.50425,0.80105,0.01458%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Indiana,37,5965098,0.62027,0.43673,0.85497,0.00710%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Iowa,78,2871759,2.71611,2.14697,3.38984,0.01496%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Kansas,34,2600117,1.30763,0.90558,1.82729,0.00652%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Kentucky,33,3980479,0.82905,0.57067,1.16429,0.00633%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Louisiana,35,4376994,0.79964,0.55698,1.1121,0.00671%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Maryland,43,5015175,0.8574,0.6205,1.15491,0.00825%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Massachusetts,29,6049645,0.47937,0.32104,0.68845,0.00556%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Michigan,123,9641980,1.27567,1.05023,1.50112,0.02359%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Minnesota,48,4667367,1.02842,0.75827,1.36353,0.00921%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Mississippi,40,2799088,1.42904,1.02092,1.94595,0.00767%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Missouri,161,5466992,2.94495,2.49004,3.39985,0.03088%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Nebraska,25,1666762,1.49991,0.97067,2.21417,0.00479%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Nevada,28,1801605,1.55417,1.03273,2.24621,0.00537%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New Jersey,32,7840433,0.40814,0.27917,0.57617,0.00614%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New Mexico,25,1605512,1.55714,1.0077,2.29864,0.00479%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New York,113,17646531,0.64035,0.52228,0.75842,0.02167%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,North Carolina,62,7729492,0.80212,0.61498,1.02828,0.01189%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,North Dakota,14,609006,NaN,1.25679,3.85704,0.00269%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Ohio,78,11164200,0.69866,0.55226,0.87196,0.01496%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Oklahoma,36,3077238,1.16988,0.81937,1.61961,0.00690%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Oregon,74,3220625,2.29769,1.80419,2.88454,0.01419%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Pennsylvania,67,12014508,0.55766,0.43218,0.7082,0.01285%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,South Carolina,27,3922493,0.68834,0.45362,1.0015,0.00518%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,South Dakota,33,682946,4.83201,3.32611,6.78593,0.00633%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Tennessee,52,5565118,0.93439,0.69785,1.22533,0.00997%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Texas,212,19819906,1.06963,0.92565,1.21362,0.04066%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Utah,26,2113862,1.22998,0.80346,1.8022,0.00499%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Virginia,95,6704701,1.41692,1.14637,1.73211,0.01822%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Washington,112,5360926,2.08919,1.70227,2.47611,0.02148%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,West Virginia,23,1799871,1.27787,0.81005,1.91743,0.00441%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Wisconsin,160,5189819,3.08296,2.60525,3.56067,0.03069%
1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Wyoming,10,476989,NaN,1.00535,3.85552,0.00192%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Alabama,277,4373981,6.3329,5.58711,7.0787,0.05313%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Alaska,14,488662,NaN,1.56631,4.80693,0.00269%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Arizona,288,4638201,6.2093,5.49217,6.92644,0.05524%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Arkansas,200,2612382,7.65585,6.5948,8.71689,0.03836%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,California,486,28994903,1.67616,1.52713,1.82518,0.09321%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Colorado,192,4065971,4.72212,4.05417,5.39007,0.03682%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Connecticut,92,3286576,2.79927,2.2566,3.43305,0.01765%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Delaware,37,754856,4.9016,3.45117,6.75621,0.00710%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,District of Columbia,10,551380,NaN,0.86971,3.33534,0.00192%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Florida,858,15397806,5.57222,5.19937,5.94508,0.16456%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Georgia,502,7847232,6.39716,5.83754,6.95678,0.09628%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Hawaii,10,393889,NaN,1.21745,4.66893,0.00192%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Idaho,80,1242252,6.43992,5.10647,8.01506,0.01534%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Illinois,315,11875025,2.65263,2.35969,2.94556,0.06042%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Indiana,259,5965098,4.34192,3.81313,4.87072,0.04968%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Iowa,33,2871759,1.14912,0.791,1.61379,0.00633%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Kansas,104,2600117,3.99982,3.23108,4.76856,0.01995%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Kentucky,250,3980479,6.28065,5.50209,7.05921,0.04795%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Louisiana,344,4376994,7.85928,7.02874,8.68981,0.06598%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Maine,44,1249521,3.52135,2.55861,4.72724,0.00844%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Maryland,191,5015175,3.80844,3.26833,4.34856,0.03663%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Massachusetts,73,6049645,1.20668,0.94585,1.51722,0.01400%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Michigan,390,9641980,4.04481,3.64337,4.44625,0.07480%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Minnesota,159,4667367,3.40663,2.87711,3.93615,0.03050%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Mississippi,125,2799088,4.46574,3.68286,5.24862,0.02397%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Missouri,76,5466992,1.39016,1.09529,1.74,0.01458%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Montana,68,833890,8.15455,6.33234,10.33785,0.01304%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Nebraska,80,1666762,4.79973,3.80589,5.97369,0.01534%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Nevada,108,1801605,5.99465,4.86406,7.12525,0.02071%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,New Hampshire,48,1202565,3.99147,2.94299,5.29209,0.00921%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,New Jersey,136,7840433,1.7346,1.44307,2.02613,0.02608%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,New Mexico,21,1605512,1.30799,0.80967,1.99941,0.00403%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,New York,314,17646531,1.77939,1.58257,1.9762,0.06022%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,North Carolina,478,7729492,6.18411,5.62971,6.7385,0.09168%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,North Dakota,13,609006,NaN,1.1366,3.65027,0.00249%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Ohio,473,11164200,4.23676,3.85494,4.61858,0.09072%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Oklahoma,263,3077238,8.54663,7.51369,9.57956,0.05044%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Oregon,62,3220625,1.92509,1.47595,2.46787,0.01189%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Pennsylvania,580,12014508,4.8275,4.43461,5.22038,0.11124%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Rhode Island,24,1007690,2.38168,1.52599,3.54376,0.00460%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,South Carolina,233,3922493,5.9401,5.17737,6.70283,0.04469%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Tennessee,392,5565118,7.04388,6.34657,7.74118,0.07518%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Texas,888,19819906,4.48034,4.18566,4.77503,0.17031%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Utah,73,2113862,3.45339,2.70691,4.34213,0.01400%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Vermont,29,596892,4.8585,3.25383,6.97763,0.00556%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Virginia,246,6704701,3.66907,3.21056,4.12757,0.04718%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Washington,39,5360926,0.72749,0.51732,0.9945,0.00748%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,West Virginia,128,1799871,7.11162,5.8796,8.34365,0.02455%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Wisconsin,12,5189819,NaN,0.11947,0.4039,0.00230%
1999,Intentional self-harm by other and unspecified firearm discharge,X74,Wyoming,42,476989,8.80523,6.34602,11.90212,0.00806%
1999,Assault by handgun discharge,X93,Alabama,37,4373981,0.84591,0.5956,1.16598,0.00710%
1999,Assault by handgun discharge,X93,Arkansas,13,2612382,NaN,0.26497,0.85096,0.00249%
1999,Assault by handgun discharge,X93,California,248,28994903,0.85532,0.74887,0.96178,0.04757%
1999,Assault by handgun discharge,X93,Florida,28,15397806,0.18184,0.12083,0.26282,0.00537%
1999,Assault by handgun discharge,X93,Georgia,34,7847232,0.43327,0.30006,0.60546,0.00652%
1999,Assault by handgun discharge,X93,Illinois,38,11875025,0.32,0.22645,0.43922,0.00729%
1999,Assault by handgun discharge,X93,Indiana,14,5965098,NaN,0.12831,0.39378,0.00269%
1999,Assault by handgun discharge,X93,Iowa,11,2871759,NaN,0.19121,0.68537,0.00211%
1999,Assault by handgun discharge,X93,Kentucky,14,3980479,NaN,0.19229,0.59012,0.00269%
1999,Assault by handgun discharge,X93,Mississippi,76,2799088,2.71517,2.13926,3.39844,0.01458%
1999,Assault by handgun discharge,X93,Missouri,68,5466992,1.24383,0.96588,1.57685,0.01304%
1999,Assault by handgun discharge,X93,Nevada,19,1801605,NaN,0.63495,1.64691,0.00364%
1999,Assault by handgun discharge,X93,New Jersey,10,7840433,NaN,0.06116,0.23456,0.00192%
1999,Assault by handgun discharge,X93,New Mexico,19,1605512,NaN,0.7125,1.84806,0.00364%
1999,Assault by handgun discharge,X93,Ohio,13,11164200,NaN,0.062,0.19912,0.00249%
1999,Assault by handgun discharge,X93,Oregon,10,3220625,NaN,0.1489,0.57102,0.00192%
1999,Assault by handgun discharge,X93,Pennsylvania,13,12014508,NaN,0.05761,0.18503,0.00249%
1999,Assault by handgun discharge,X93,South Carolina,15,3922493,NaN,0.21403,0.63073,0.00288%
1999,Assault by handgun discharge,X93,Tennessee,19,5565118,NaN,0.20555,0.53316,0.00364%
1999,Assault by handgun discharge,X93,Texas,27,19819906,0.13623,0.08977,0.1982,0.00518%
1999,Assault by handgun discharge,X93,Virginia,98,6704701,1.46166,1.18665,1.7813,0.01880%
1999,Assault by handgun discharge,X93,Washington,33,5360926,0.61557,0.42372,0.86448,0.00633%
1999,Assault by handgun discharge,X93,Wisconsin,103,5189819,1.98465,1.60137,2.36794,0.01975%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Alabama,28,4373981,0.64015,0.42537,0.92519,0.00537%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Arizona,15,4638201,NaN,0.181,0.5334,0.00288%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Arkansas,11,2612382,NaN,0.2102,0.75342,0.00211%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,California,60,28994903,0.20693,0.15791,0.26636,0.01151%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Florida,22,15397806,0.14288,0.08954,0.21632,0.00422%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Georgia,25,7847232,0.31858,0.20617,0.47029,0.00479%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Illinois,11,11875025,NaN,0.04624,0.16574,0.00211%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Indiana,14,5965098,NaN,0.12831,0.39378,0.00269%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Kentucky,22,3980479,0.5527,0.34637,0.83679,0.00422%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Louisiana,16,4376994,NaN,0.20894,0.59363,0.00307%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Maryland,19,5015175,NaN,0.22809,0.59162,0.00364%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Michigan,30,9641980,0.31114,0.20993,0.44417,0.00575%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Mississippi,27,2799088,0.9646,0.63568,1.40344,0.00518%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Missouri,22,5466992,0.40242,0.25219,0.60926,0.00422%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,New York,21,17646531,0.119,0.07367,0.18191,0.00403%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,North Carolina,24,7729492,0.3105,0.19894,0.462,0.00460%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Ohio,12,11164200,NaN,0.05554,0.18776,0.00230%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Oklahoma,12,3077238,NaN,0.2015,0.68118,0.00230%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Oregon,10,3220625,NaN,0.1489,0.57102,0.00192%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Pennsylvania,14,12014508,NaN,0.06371,0.19551,0.00269%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,South Carolina,27,3922493,0.68834,0.45362,1.0015,0.00518%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Tennessee,17,5565118,NaN,0.17795,0.48909,0.00326%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Texas,79,19819906,0.39859,0.31557,0.49676,0.01515%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Virginia,24,6704701,0.35796,0.22935,0.53261,0.00460%
1999,"Assault by rifle, shotgun and larger firearm discharge",X94,Washington,13,5360926,NaN,0.12912,0.41467,0.00249%
1999,Assault by other and unspecified firearm discharge,X95,Alabama,226,4373981,5.16692,4.49327,5.84057,0.04335%
1999,Assault by other and unspecified firearm discharge,X95,Alaska,13,488662,NaN,1.41652,4.54924,0.00249%
1999,Assault by other and unspecified firearm discharge,X95,Arizona,269,4638201,5.79966,5.10658,6.49274,0.05159%
1999,Assault by other and unspecified firearm discharge,X95,Arkansas,94,2612382,3.59825,2.90774,4.40336,0.01803%
1999,Assault by other and unspecified firearm discharge,X95,California,978,28994903,3.37301,3.16161,3.58441,0.18758%
1999,Assault by other and unspecified firearm discharge,X95,Colorado,100,4065971,2.45944,1.97739,2.94149,0.01918%
1999,Assault by other and unspecified firearm discharge,X95,Connecticut,80,3286576,2.43414,1.93013,3.02951,0.01534%
1999,Assault by other and unspecified firearm discharge,X95,Delaware,16,754856,NaN,1.21155,3.44212,0.00307%
1999,Assault by other and unspecified firearm discharge,X95,District of Columbia,139,551380,25.20947,21.01852,29.40042,0.02666%
1999,Assault by other and unspecified firearm discharge,X95,Florida,489,15397806,3.17578,2.89429,3.45726,0.09379%
1999,Assault by other and unspecified firearm discharge,X95,Georgia,369,7847232,4.7023,4.2225,5.18209,0.07077%
1999,Assault by other and unspecified firearm discharge,X95,Idaho,11,1242252,NaN,0.44204,1.58439,0.00211%
1999,Assault by other and unspecified firearm discharge,X95,Illinois,637,11875025,5.3642,4.94763,5.78077,0.12217%
1999,Assault by other and unspecified firearm discharge,X95,Indiana,240,5965098,4.0234,3.51437,4.53243,0.04603%
1999,Assault by other and unspecified firearm discharge,X95,Kansas,80,2600117,3.07678,2.43971,3.82934,0.01534%
1999,Assault by other and unspecified firearm discharge,X95,Kentucky,106,3980479,2.663,2.15604,3.16996,0.02033%
1999,Assault by other and unspecified firearm discharge,X95,Louisiana,321,4376994,7.3338,6.53151,8.13609,0.06157%
1999,Assault by other and unspecified firearm discharge,X95,Maryland,367,5015175,7.31779,6.5691,8.06648,0.07039%
1999,Assault by other and unspecified firearm discharge,X95,Massachusetts,60,6049645,0.99179,0.75685,1.27664,0.01151%
1999,Assault by other and unspecified firearm discharge,X95,Michigan,478,9641980,4.95749,4.51306,5.40192,0.09168%
1999,Assault by other and unspecified firearm discharge,X95,Minnesota,44,4667367,0.94272,0.68498,1.26555,0.00844%
1999,Assault by other and unspecified firearm discharge,X95,Mississippi,111,2799088,3.96558,3.22784,4.70331,0.02129%
1999,Assault by other and unspecified firearm discharge,X95,Missouri,150,5466992,2.74374,2.30465,3.18283,0.02877%
1999,Assault by other and unspecified firearm discharge,X95,Montana,12,833890,NaN,0.74357,2.51371,0.00230%
1999,Assault by other and unspecified firearm discharge,X95,Nebraska,29,1666762,1.7399,1.16525,2.49879,0.00556%
1999,Assault by other and unspecified firearm discharge,X95,Nevada,62,1801605,3.44138,2.63847,4.41167,0.01189%
1999,Assault by other and unspecified firearm discharge,X95,New Jersey,134,7840433,1.70909,1.41971,1.99847,0.02570%
1999,Assault by other and unspecified firearm discharge,X95,New Mexico,54,1605512,3.36341,2.5267,4.38851,0.01036%
1999,Assault by other and unspecified firearm discharge,X95,New York,506,17646531,2.86742,2.61757,3.11726,0.09705%
1999,Assault by other and unspecified firearm discharge,X95,North Carolina,408,7729492,5.27848,4.76629,5.79068,0.07825%
1999,Assault by other and unspecified firearm discharge,X95,Ohio,228,11164200,2.04224,1.77715,2.30733,0.04373%
1999,Assault by other and unspecified firearm discharge,X95,Oklahoma,130,3077238,4.22457,3.49835,4.95079,0.02493%
1999,Assault by other and unspecified firearm discharge,X95,Oregon,38,3220625,1.1799,0.83496,1.6195,0.00729%
1999,Assault by other and unspecified firearm discharge,X95,Pennsylvania,398,12014508,3.31266,2.98721,3.63812,0.07633%
1999,Assault by other and unspecified firearm discharge,X95,Rhode Island,20,1007690,1.98474,1.21234,3.06527,0.00384%
1999,Assault by other and unspecified firearm discharge,X95,South Carolina,181,3922493,4.61441,3.94216,5.28667,0.03471%
1999,Assault by other and unspecified firearm discharge,X95,Tennessee,246,5565118,4.42039,3.868,4.97279,0.04718%
1999,Assault by other and unspecified firearm discharge,X95,Texas,668,19819906,3.37035,3.11476,3.62594,0.12812%
