year,race,race.code,cause.of.death,cause.of.death.code,state,state.code,deaths,population,crude.rate,crude.rate.lower.95.ci,crude.rate.upper.95.ci,percent.total.deaths
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Indiana,18,11,525171,NaN,1.05,3.75,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Mississippi,28,61,1038253,5.88,4.49,7.55,0.01%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Missouri,29,29,642019,4.52,3.03,6.49,0.01%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,South Carolina,45,12,1192652,NaN,0.52,1.76,0.00%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Virginia,51,76,1422517,5.34,4.21,6.69,0.01%
1999,Black or African American,2054-5,Assault by handgun discharge,X93,Wisconsin,55,66,315230,20.94,16.19,26.64,0.01%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Alabama,1,16,1162673,NaN,0.79,2.23,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,California,6,10,2502469,NaN,0.19,0.73,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Georgia,13,16,2343624,NaN,0.39,1.11,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Louisiana,22,10,1461433,NaN,0.33,1.26,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Maryland,24,15,1503532,NaN,0.56,1.65,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Michigan,26,24,1455082,1.65,1.06,2.45,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Mississippi,28,19,1038253,NaN,1.1,2.86,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,North Carolina,37,11,1758625,NaN,0.31,1.12,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,South Carolina,45,12,1192652,NaN,0.52,1.76,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Tennessee,47,12,939791,NaN,0.66,2.23,0.00%
1999,Black or African American,2054-5,"Assault by rifle, shotgun and larger firearm discharge",X94,Texas,48,29,2461293,1.18,0.79,1.69,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Alabama,1,130,1162673,11.18,9.26,13.1,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Arizona,4,38,177619,21.39,15.14,29.37,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Arkansas,5,54,424438,12.72,9.56,16.6,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,California,6,306,2502469,12.23,10.86,13.6,0.06%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Colorado,8,20,183070,10.92,6.67,16.87,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Connecticut,9,37,341801,10.83,7.62,14.92,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,District of Columbia,11,136,354021,38.42,31.96,44.87,0.03%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Florida,12,242,2419083,10,8.74,11.26,0.05%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Georgia,13,248,2343624,10.58,9.26,11.9,0.05%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Illinois,17,446,1923260,23.19,21.04,25.34,0.09%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Indiana,18,152,525171,28.94,24.34,33.54,0.03%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Kansas,20,33,164954,20.01,13.77,28.1,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Kentucky,21,36,303644,11.86,8.3,16.41,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Louisiana,22,253,1461433,17.31,15.18,19.45,0.05%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Maryland,24,326,1503532,21.68,19.33,24.04,0.06%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Massachusetts,25,21,416891,5.04,3.12,7.7,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Michigan,26,374,1455082,25.7,23.1,28.31,0.07%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Minnesota,27,20,182425,10.96,6.7,16.93,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Mississippi,28,79,1038253,7.61,6.02,9.48,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Missouri,29,113,642019,17.6,14.36,20.85,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Nebraska,31,12,72024,NaN,8.61,29.1,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Nevada,32,19,143853,NaN,7.95,20.63,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,New Jersey,34,84,1231242,6.82,5.44,8.45,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,New York,36,310,3410768,9.09,8.08,10.1,0.06%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,North Carolina,37,237,1758625,13.48,11.76,15.19,0.05%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Ohio,39,147,1347742,10.91,9.14,12.67,0.03%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Oklahoma,40,53,277057,19.13,14.33,25.02,0.01%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Pennsylvania,42,270,1279925,21.09,18.58,23.61,0.05%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,South Carolina,45,113,1192652,9.47,7.73,11.22,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Tennessee,47,140,939791,14.9,12.43,17.36,0.03%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Texas,48,209,2461293,8.49,7.34,9.64,0.04%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Virginia,51,99,1422517,6.96,5.66,8.47,0.02%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Washington,53,24,222319,10.8,6.92,16.06,0.00%
1999,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,West Virginia,54,10,59775,NaN,8.02,30.77,0.00%
1999,Black or African American,2054-5,Legal intervention involving firearm discharge,Y35.0,California,6,13,2502469,NaN,0.28,0.89,0.00%
1999,White,2106-3,Handgun discharge,W32,California,6,17,26492434,NaN,0.04,0.1,0.00%
1999,White,2106-3,Handgun discharge,W32,Washington,53,10,5138607,NaN,0.09,0.36,0.00%
1999,White,2106-3,"Rifle, shotgun and larger firearm discharge",W33,Texas,48,13,17358613,NaN,0.04,0.13,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Alabama,1,34,3211308,1.06,0.73,1.48,0.01%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Arizona,4,12,4460582,NaN,0.14,0.47,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Arkansas,5,13,2187944,NaN,0.32,1.02,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,California,6,17,26492434,NaN,0.04,0.1,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Indiana,18,17,5439927,NaN,0.18,0.5,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Kentucky,21,26,3676835,0.71,0.46,1.04,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Louisiana,22,15,2915561,NaN,0.29,0.85,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Mississippi,28,16,1760835,NaN,0.52,1.48,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,New York,36,11,14235763,NaN,0.04,0.14,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,North Carolina,37,14,5970867,NaN,0.13,0.39,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Ohio,39,22,9816458,0.22,0.14,0.34,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Oklahoma,40,17,2800181,NaN,0.35,0.97,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Pennsylvania,42,23,10734583,0.21,0.14,0.32,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,South Carolina,45,18,2729841,NaN,0.39,1.04,0.00%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Tennessee,47,34,4625327,0.74,0.51,1.03,0.01%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Texas,48,38,17358613,0.22,0.15,0.3,0.01%
1999,White,2106-3,Discharge from other and unspecified firearms,W34,Virginia,51,15,5282184,NaN,0.16,0.47,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Alabama,1,81,3211308,2.52,2,3.14,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Alaska,2,13,462052,NaN,1.5,4.81,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Arizona,4,128,4460582,2.87,2.37,3.37,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,California,6,657,26492434,2.48,2.29,2.67,0.13%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Colorado,8,69,3882901,1.78,1.38,2.25,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Florida,12,127,12978723,0.98,0.81,1.15,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Georgia,13,43,5503608,0.78,0.57,1.05,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Idaho,16,25,1236009,2.02,1.31,2.99,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Illinois,17,86,9951765,0.86,0.69,1.07,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Indiana,18,61,5439927,1.12,0.86,1.44,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Iowa,19,47,2806468,1.67,1.23,2.23,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Kansas,20,25,2435163,1.03,0.66,1.52,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Kentucky,21,48,3676835,1.31,0.96,1.73,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Maine,23,43,1241976,3.46,2.51,4.66,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Massachusetts,25,15,5632754,NaN,0.15,0.44,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Michigan,26,23,8186898,0.28,0.18,0.42,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Minnesota,27,19,4484942,NaN,0.26,0.66,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Mississippi,28,66,1760835,3.75,2.9,4.77,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Missouri,29,168,4824973,3.48,2.96,4.01,0.03%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Montana,30,17,830780,NaN,1.19,3.28,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Nevada,32,115,1657752,6.94,5.67,8.21,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,New Jersey,34,20,6609191,0.3,0.18,0.47,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,New Mexico,35,116,1563421,7.42,6.07,8.77,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,North Carolina,37,17,5970867,NaN,0.17,0.46,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,North Dakota,38,11,604999,NaN,0.91,3.25,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Ohio,39,63,9816458,0.64,0.49,0.82,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Oregon,41,163,3154256,5.17,4.37,5.96,0.03%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Pennsylvania,42,56,10734583,0.52,0.39,0.68,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,South Carolina,45,23,2729841,0.84,0.53,1.26,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,South Dakota,46,16,678197,NaN,1.35,3.83,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Tennessee,47,48,4625327,1.04,0.77,1.38,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Texas,48,110,17358613,0.63,0.52,0.75,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Utah,49,49,2092488,2.34,1.73,3.1,0.01%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Virginia,51,128,5282184,2.42,2,2.84,0.02%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Washington,53,269,5138607,5.23,4.61,5.86,0.05%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,West Virginia,54,18,1740096,NaN,0.61,1.63,0.00%
1999,White,2106-3,Intentional self-harm by handgun discharge,X72,Wisconsin,55,112,4874589,2.3,1.87,2.72,0.02%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Alabama,1,60,3211308,1.87,1.43,2.41,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Alaska,2,10,462052,NaN,1.04,3.98,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Arizona,4,40,4460582,0.9,0.64,1.22,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Arkansas,5,23,2187944,1.05,0.67,1.58,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,California,6,253,26492434,0.95,0.84,1.07,0.05%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Colorado,8,40,3882901,1.03,0.74,1.4,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Connecticut,9,17,2944775,NaN,0.34,0.92,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Florida,12,138,12978723,1.06,0.89,1.24,0.03%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Georgia,13,48,5503608,0.87,0.64,1.16,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Idaho,16,13,1236009,NaN,0.56,1.8,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Illinois,17,69,9951765,0.69,0.54,0.88,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Indiana,18,33,5439927,0.61,0.42,0.85,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Iowa,19,77,2806468,2.74,2.17,3.43,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Kansas,20,33,2435163,1.36,0.93,1.9,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Kentucky,21,32,3676835,0.87,0.6,1.23,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Louisiana,22,30,2915561,1.03,0.69,1.47,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Maryland,24,36,3511643,1.03,0.72,1.42,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Massachusetts,25,29,5632754,0.51,0.34,0.74,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Michigan,26,112,8186898,1.37,1.11,1.62,0.02%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Minnesota,27,48,4484942,1.07,0.79,1.42,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Mississippi,28,34,1760835,1.93,1.34,2.7,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Missouri,29,157,4824973,3.25,2.74,3.76,0.03%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Nebraska,31,25,1594738,1.57,1.01,2.31,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Nevada,32,28,1657752,1.69,1.12,2.44,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New Jersey,34,31,6609191,0.47,0.32,0.67,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New Mexico,35,25,1563421,1.6,1.03,2.36,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,New York,36,108,14235763,0.76,0.62,0.9,0.02%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,North Carolina,37,51,5970867,0.85,0.64,1.12,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,North Dakota,38,14,604999,NaN,1.27,3.88,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Ohio,39,77,9816458,0.78,0.62,0.98,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Oklahoma,40,36,2800181,1.29,0.9,1.78,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Oregon,41,73,3154256,2.31,1.81,2.91,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Pennsylvania,42,64,10734583,0.6,0.46,0.76,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,South Carolina,45,25,2729841,0.92,0.59,1.35,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,South Dakota,46,33,678197,4.87,3.35,6.83,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Tennessee,47,48,4625327,1.04,0.77,1.38,0.01%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Texas,48,208,17358613,1.2,1.04,1.36,0.04%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Utah,49,26,2092488,1.24,0.81,1.82,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Virginia,51,84,5282184,1.59,1.27,1.97,0.02%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Washington,53,111,5138607,2.16,1.76,2.56,0.02%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,West Virginia,54,23,1740096,1.32,0.84,1.98,0.00%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Wisconsin,55,160,4874589,3.28,2.77,3.79,0.03%
1999,White,2106-3,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,Wyoming,56,10,472739,NaN,1.01,3.89,0.00%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Alabama,1,248,3211308,7.72,6.76,8.68,0.05%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Alaska,2,13,462052,NaN,1.5,4.81,0.00%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Arizona,4,280,4460582,6.28,5.54,7.01,0.05%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Arkansas,5,196,2187944,8.96,7.7,10.21,0.04%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,California,6,457,26492434,1.73,1.57,1.88,0.09%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Colorado,8,185,3882901,4.76,4.08,5.45,0.04%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Connecticut,9,88,2944775,2.99,2.4,3.68,0.02%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Delaware,10,34,601213,5.66,3.92,7.9,0.01%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Florida,12,804,12978723,6.19,5.77,6.62,0.15%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Georgia,13,427,5503608,7.76,7.02,8.49,0.08%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Hawaii,15,10,362728,NaN,1.32,5.07,0.00%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Idaho,16,80,1236009,6.47,5.13,8.06,0.02%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Illinois,17,253,9951765,2.54,2.23,2.86,0.05%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Indiana,18,251,5439927,4.61,4.04,5.18,0.05%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Iowa,19,33,2806468,1.18,0.81,1.65,0.01%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Kansas,20,100,2435163,4.11,3.3,4.91,0.02%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Kentucky,21,242,3676835,6.58,5.75,7.41,0.05%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Louisiana,22,287,2915561,9.84,8.7,10.98,0.06%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Maine,23,44,1241976,3.54,2.57,4.76,0.01%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Maryland,24,157,3511643,4.47,3.77,5.17,0.03%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Massachusetts,25,71,5632754,1.26,0.98,1.59,0.01%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Michigan,26,340,8186898,4.15,3.71,4.59,0.07%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Minnesota,27,158,4484942,3.52,2.97,4.07,0.03%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Mississippi,28,100,1760835,5.68,4.57,6.79,0.02%
1999,White,2106-3,Intentional self-harm by other and unspecified firearm discharge,X74,Missouri,29,67,4824973,1.39,1.08,1.76,0.01%
